CDCOL,CDETAB,TYPE,NOM,LIBTRI,NUMTEL,EMAIL,NORUE,CDBISTER,BISTER,CDRUE,LIBRUE,CMPADR,CDPOST,CANTON,QUART,SQUART,RNE,CDPAT,CDELEM,SECTEUR,NBENFMAX,NBCLAS,NBCLASFUT,COMM,ZEP
0,1,E,Ecole Primaire Winston CHURCHILL                            ,CHURCHILL                     ,04.67.42.54.64                          ,                                                  ,424, ,   ,1362,RUE DU LAVANDIN                         ,                                                  ,34070,8,4,11,0341415D,304,0,0,243,9,0,2011 : places au cp                                         ,N
0,2,E,Ecole Elémentaire Marie CURIE                               ,CURIE                         ,04.67.42.52.54                          ,                                                  ,6, ,   ,2016,ALLÉE DES SOPHORAS                      ,                                                  ,34070,6,4,12,0340486U,379,0,0,270,10,0,2011  : places ce2 et cm1 - Accueil des ENA                 ,N
0,3,E,Ecole Elémentaire GARIBALDI                                 ,GARIBALDI                     ,04.67.42.77.13                          ,                                                  ,2, ,   ,1062,PLACE DE FONTJUN                        ,                                                  ,34070,6,4,12,0341376L,385,0,0,189,7,0,RESTE 1 PLACE CP CE1 CM1 PLUS DE PLACES CM2 CE2   2011-2012 ,N
0,4,E,Ecole Elémentaire RONSARD                                   ,RONSARD                       ,04.67.27.82.03                          ,                                                  ,700, ,   ,1254,RUE JACQUES BOUNIN                      ,                                                  ,34070,6,4,14,0341845W,1060,0,0,189,7,0,plus de place rentree 2011                                  ,N
0,5,E,Ecole Elémentaire Alain SAVARY                              ,SAVARY                        ,04.67.42.02.57                          ,                                                  ,240, ,   ,2220,QUAI FLORA TRISTAN                      ,                                                  ,34070,8,4,13,0341885P,425,3,0,297,11,0,reste de la place 2011                                      ,N
0,6,E,Ecole Primaire Victor SCHOELCHER (Element)                  ,SCHOELCHER                    ,04.67.42.69.66                          ,                                                  ,65, ,   ,1884,RUE ROBESPIERRE                         ,                                                  ,34070,8,4,13,0341749S,400,0,0,168,7,0,PLACES DANS TOUTES LES SECTIONS 2011-2012                   ,O
0,7,E,Ecole Elémentaire Georges SIMENON                           ,SIMENON                       ,04.67.42.47.20                          ,                                                  ,215, ,   ,1686,BOULEVARD PEDRO DE LUNA                 ,                                                  ,34070,6,4,12,0341859L,351,0,0,243,9,0,places uniquement en cycle 2                                ,N
0,8,E,Ecole Elémentaire VOLTAIRE                                  ,VOLTAIRE                      ,04.67.47.19.65                          ,                                                  ,157, ,   ,1213,RUE HENRI SELLIER                       ,                                                  ,34070,6,4,14,0340485T,435,0,0,270,10,0,Sept 2011 plus de places CE2; CM1;CM2                       ,N
0,9,E,Ecole Elémentaire CALMETTE (Docteur)                        ,CALMETTE                      ,04.67.63.47.25                          ,                                                  ,147, ,   ,1833,RUE DES QUATRE SEIGNEURS                ,                                                  ,34090,2,1,1,0341642A,279,0,0,243,9,0,plus de places pour  les  enfants  nes en 2000 ou 2001      ,N
0,10,E,Ecole Elémentaire Jules FERRY                               ,FERRY                         ,04.67.54.41.71                          ,                                                  ,88, ,   ,2342,RUE ANTOINE-LAURENT JUSSIEU             ,                                                  ,34090,3,1,3,0341557H,426,0,0,216,8,0,R 2011 : Plus de ce1 plus de CE2    /place  en CP           ,N
0,11,E,Ecole Elémentaire Sigmund FREUD                             ,FREUD                         ,04.67.72.42.53                          ,                                                  ,2, ,   ,2068,RUE DES TOURTERELLES                    ,                                                  ,34090,3,1,3,0341879H,251,0,0,162,6,0,plus  de  places en cycle 3  et CE2 .reste des places en CP ,N
0,13,E,Ecole Elementaire  POTTIER /SIBELIUS                        ,POTTIER                       ,04 67 63 35 68                          ,                                                  ,120, ,   ,1261,RUE DE LA JALADE                        ,                                                  ,34090,2,1,2,0340518D,336,0,0,297,11,0,"11 Classes1classe internationale en 2011 reste cp,ce1,cm1cm2",N
0,14,E,Ecole Elémentaire Louis ARMSTRONG                           ,ARMSTRONG                     ,04.67.75.61.77                          ,                                                  ,971, ,   ,1676,RUE PAUL RIMBAUD                        ,                                                  ,34080,7,3,7,0340522H,410,2,0,264,11,0,                                                            ,O
0,15,E,Ecole Elémentaire Charles BAUDELAIRE                        ,BAUDELAIRE                    ,04.67.63.08.53                          ,                                                  ,311, ,   ,1926,AVENUE SAINT CLEMENT                    ,                                                  ,34070,7,3,8,0341877F,365,0,0,162,6,0,PLUS DE PLACE EN CE1 POUR LA RENTRE 2011 12                 ,N
0,16,E,Ecole Elémentaire Emile COMBES                              ,COMBES                        ,04.67.63.28.45.                         ,                                                  ,220, ,   ,2651,RUE EDMOND LAUTARD                      ,                                                  ,34080,7,3,7,0341953N,255,0,0,135,5,0,PLUS DE PLACE EN CP ET CE1 RESTE QUEL PLCE EN CE2 CM1 ET CM2,N
0,17,E,Ecoles SUN YAT SEN / DANTE ALIGHIERI                        ,DANTE                         ,04 67 75 58 32 / 04 67 75 64 98         ,                                                  ,759, ,   ,864,RUE DE LA CROIX DE FIGUEROLLES          ,                                                  ,34070,8,3,10,0340514Z,481,0,0,297,11,0,plus de places au CP/CE1 pour les 2 écoles                  ,N
