"Nom de l’activité";"Spécialité";"Description";"Nom du centre de santé";"Jour";"Heure de début";"Heure de fin";"Adresse - nom du centre";"Adresse - rue";"Adresse - code postal";"Adresse - ville";"Numéro de téléphone";"Adresse mail";"Site internet";"Latitude";"Longitude"
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Samedi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Bilan gériatrique";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine interne";"La médecine interne s'intéresse au diagnostic et à la prise en charge globale des maladies complexes de l'adulte, de type maladie systémique (lupus érythémateux disséminé par ex) et des maladies auto immunes.";"Centre de santé René Laborie";"Jeudi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Acupuncture";"L'acupuncture est une branche de la médecine traditionnelle chinoise basée sur la localisation et la manipulation de fines aiguilles en des points du corps (sur les méridiens énergétiques) à des fins thérapeutiques.";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Allergologie";"L'allergologie s'intéresse au diagnostic et au traitement des manifestations allergiques, par l'intermédiaire des tests et d'examens de biologie et est amené à utiliser des traitements de désensibilisation.";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Cardiologie";"La cardiologie s'intéresse au diagnostic et au traitement des troubles de l'appareil cardiovasculaire (coeur et vaisseaux) : hypercholestérolémie, insuffisance cardiaque, hypertension artérielle, infarctus du myocarde, péricardite, endocardite, embolie pu";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Cardiologie";"La cardiologie s'intéresse au diagnostic et au traitement des troubles de l'appareil cardiovasculaire (coeur et vaisseaux) : hypercholestérolémie, insuffisance cardiaque, hypertension artérielle, infarctus du myocarde, péricardite, endocardite, embolie pu";"Centre de santé René Laborie";"Mardi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Cardiologie";"La cardiologie s'intéresse au diagnostic et au traitement des troubles de l'appareil cardiovasculaire (coeur et vaisseaux) : hypercholestérolémie, insuffisance cardiaque, hypertension artérielle, infarctus du myocarde, péricardite, endocardite, embolie pu";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Cardiologie";"La cardiologie s'intéresse au diagnostic et au traitement des troubles de l'appareil cardiovasculaire (coeur et vaisseaux) : hypercholestérolémie, insuffisance cardiaque, hypertension artérielle, infarctus du myocarde, péricardite, endocardite, embolie pu";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Cardiologie";"La cardiologie s'intéresse au diagnostic et au traitement des troubles de l'appareil cardiovasculaire (coeur et vaisseaux) : hypercholestérolémie, insuffisance cardiaque, hypertension artérielle, infarctus du myocarde, péricardite, endocardite, embolie pu";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Chirurgie orthopédique";"La chirurgie orthopédique s'intéresse au diagnostic et au traitement des affections de l'appareil locomoteur (os, articulations, muscles, tendons et nerfs) et au traitement des affections des membres supérieurs (épaule, coude et main) et des membres infér";"Centre de santé René Laborie";"Lundi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Chirurgie plastique ";"La chirurgie plastique répare ou remodèle une structure tégumentaire ou une forme du corps humain. Il s'agit principalement de chirurgie esthétique, de chirurgie de la main, de chirurgie cranio-faciale, de chirurgie des brûlés, de chirurgie reconstructive";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Chirurgie vasculaire";"La chirurgie vasculaire s'intéresse à la chirurgie des vaisseaux (artères, veines) hormis les vaisseaux intracrâniens et les coronaires. Elle traite les occlusions artérielles, les anévrismes artériels et les problèmes d'insuffisance veineuse chronique re";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Médecine générale";"La médecine générale assure l'analyse, le diagnostic, le traitement, la prise en charge de toutes questions de santé. Elle oriente vers le spécialiste si besoin, ceci pour tous les consultants et malades indépendamment de leur âge, de leur genre, de leur ";"Centre de santé René Laborie";"Vendredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Dermatologie";"La dermatologie s'intéresse au diagnostic et au traitement des maladies de peau (acné, eczéma, psoriasis, zona, cancer de la peau) des soins de beauté (épilation laser, anti rides, vieillissement de la peau, piercing, tatouage) et des cheveux (chute, gref";"Centre de santé René Laborie";"Mardi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Dermatologie";"La dermatologie s'intéresse au diagnostic et au traitement des maladies de peau (acné, eczéma, psoriasis, zona, cancer de la peau) des soins de beauté (épilation laser, anti rides, vieillissement de la peau, piercing, tatouage) et des cheveux (chute, gref";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Dermatologie";"La dermatologie s'intéresse au diagnostic et au traitement des maladies de peau (acné, eczéma, psoriasis, zona, cancer de la peau) des soins de beauté (épilation laser, anti rides, vieillissement de la peau, piercing, tatouage) et des cheveux (chute, gref";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Dermatologie";"La dermatologie s'intéresse au diagnostic et au traitement des maladies de peau (acné, eczéma, psoriasis, zona, cancer de la peau) des soins de beauté (épilation laser, anti rides, vieillissement de la peau, piercing, tatouage) et des cheveux (chute, gref";"Centre de santé René Laborie";"Vendredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Dermatologie";"La dermatologie s'intéresse au diagnostic et au traitement des maladies de peau (acné, eczéma, psoriasis, zona, cancer de la peau) des soins de beauté (épilation laser, anti rides, vieillissement de la peau, piercing, tatouage) et des cheveux (chute, gref";"Centre de santé René Laborie";"Samedi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Endocrinologie";"L'endocrinologie s'intéresse au diagnostic et au traitement des troubles de fonctionnement des glandes : thyroïde, pancréas, gonades, (testicule, ovaire), surrénales, parathyroïdes et hypophyse, et des produits qu'elles sécrètent, les hormones.";"Centre de santé René Laborie";"Mercredi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Endocrinologie";"L'endocrinologie s'intéresse au diagnostic et au traitement des troubles de fonctionnement des glandes : thyroïde, pancréas, gonades, (testicule, ovaire), surrénales, parathyroïdes et hypophyse, et des produits qu'elles sécrètent, les hormones.";"Centre de santé René Laborie";"Mercredi";01:00:00 PM;06:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gastro-entérologie";"La gastro-entérologie s'intéresse au diagnostic et au traitement des maladies ou troubles fonctionnels du tube digestif, de l'œsophage à l'anus y compris les organes annexes : le foie, la vésicule biliaire et le pancréas.";"Centre de santé René Laborie";"Lundi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
"Consultation";"Gastro-entérologie";"La gastro-entérologie s'intéresse au diagnostic et au traitement des maladies ou troubles fonctionnels du tube digestif, de l'œsophage à l'anus y compris les organes annexes : le foie, la vésicule biliaire et le pancréas.";"Centre de santé René Laborie";"Jeudi";08:00:00 AM;12:00:00 PM;"René Laborie";"29, rue de Turbigo";75002;"Paris";"08 20 21 33 33";;;48.86;2.35
