RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
FRAN-COMTE,VESOUL,9-720.551,MA JESTIC - ESPACE DES LUMIERES,ZAC DES HABERGES,16 RUE COURVOISIER,VESOUL,70000
LORRAINE,VITTEL,9-464.003,CENTRE CLAUDE BASSOT,103 RUE DU MARECHAL FOCH,,VITTEL,88800
LORRAINE,VITTEL,9-464.001,ALHAMBRA,223 RUE DE METZ,,VITTEL,88800
LORRAINE,VILLERUPT,9-460.135,RIO,6 RUE GEORGES CLEMENCEAU,,VILLERUPT,54190
FRAN-COMTE,VESOUL,9-450.575,CLUB 6,ESPACE VILLON,SLE SPECTACLES CENTRE SOCIAL,VESOUL,70000
LORRAINE,VERDUN,9-447.622,MAJESTIC,12 PLACE CHEVERT,,VERDUN,55100
LORRAINE,VANDOEUVRE-LES-NANCY,9-441.743,CTRE CULTUREL ANDRE MALRAUX,"1, PLACE DE L'HÔTEL DE VILLE",,VANDOEUVRE LES NANCY,54500
LORRAINE,VAGNEY,9-439.061,L'ENTR'ACTES  (EX-EDEN),RUELLE DES VIAUX,,VAGNEY,88120
LORRAINE,TOUL,9-429.814,CITEA (EX-CINE CLAIR),12 RUE DE RIGNY,,TOUL,54200
LORRAINE,LE THILLOT,9-426.151,VARIETES,10 RUE JULES FERRY,,LE THILLOT,88160
LORRAINE,SAINT-MAX,9-405.441,ROYAL,18 RUE ST LIVIER,,SAINT MAX,54130
FRAN-COMTE,SAINT-LOUP-SUR-SEMOUSE,9-399.101,SALLE FRANCOIS MITTERRAND,PLACE LEON JACQUEY,,SAINT LOUP SUR SEMOUSE,70800
LORRAINE,SAINT-DIE,9-382.423,L EXCELSIOR,26 28 QUAI SADI CARNOT,,SAINT DIE,88100
LORRAINE,SAINT-DIE,9-382.412,EMPIRE,22 QUAI CARNOT,,SAINT DIE,88100
FRAN-COMTE,SERVANCE,9-361.641,SALLE NOTRE DAME,,,SERVANCE,70440
LORRAINE,REMIREMONT,9-334.601,LE FRANCE,4 ET 6 RUE DES CAPUCINS,,REMIREMONT,88200
LORRAINE,RAON-L ETAPE,9-331.964,THEATRE MUNICIPAL,RUE JULES FERRY,,RAON L ETAPE,88110
LORRAINE,PONT-A-MOUSSON,9-318.661,CONCORDE,"48, PLACE DUROC",,PONT A MOUSSON,54700
