"RegAdm","Ville","NoAuto","Enseigne","AdrNumVoie","AdrComplement","AdrCommune","AdrCdPostal"
"IDF","PARIS 8ME","1-002.991","ST LAZARE PASQUIER I","44 RUE PASQUIER",,"PARIS",75008
"IDF","PARIS 9ME","1-002.982","CAUMARTIN 1  EX CINEVOG","101 RUE ST LAZARE",,"PARIS",75009
"IDF","PARIS 17ME","1-002.543","MAC MAHON","5/7 AV MAC MAHON",,"PARIS",75017
"IDF","PARIS 16ME","1-002.331","LE PARC DES PRINCES","24 RUE COMMANDANT GUILBAULT",,"PARIS",75016
"IDF","PARIS 8ME","1-002.991","ST LAZARE PASQUIER I","44 RUE PASQUIER",,"PARIS",75008
"IDF","PARIS 9ME","1-002.982","CAUMARTIN 1  EX CINEVOG","101 RUE ST LAZARE",,"PARIS",75009
"LANG-ROUSS","NIMES","7-290.933","FORUM","3 RUE POISE",,"NIMES",30000
"LANG-ROUSS","NARBONNE","7-285.975","LE CINEMA SCENE NATIONALE DE NARBONNE","2 AVENUE MAITRE HUBERT MOULY",,"NARBONNE",11100
"LANG-ROUSS","NARBONNE","7-285.966","MEGA CGR","ZI CROIX SUD","ROUTE DE PERPIGNAN","NARBONNE",11100
"LANG-ROUSS","MONTPELLIER","7-275.334","CINEMA NESTOR BURMA","2 RUE MARCELIN ALBERT",,"MONTPELLIER",34000
