code postal,insee,article,ville,ARTICLE,VILLE,libelle,region,nom region,dep,nom dep,longitude,latitude,codex,metaphone
1400,1001,L',Abergement-Clémenciat,L',ABERGEMENT-CLEMENCIAT,L ABERGEMENT CLEMENCIAT,82,RHONE-ALPES,1,Ain,46.151468,4.920059,A162,APRJMNTKLMNSTL
1640,1002,L',Abergement-de-Varey,L',ABERGEMENT-DE-VAREY,L ABERGEMENT DE VAREY,82,RHONE-ALPES,1,Ain,46.00593,5.425281,A162,APRJMNTTFRL
1500,1004,,Ambérieu-en-Bugey,,AMBERIEU-EN-BUGEY,AMBERIEU EN BUGEY,82,RHONE-ALPES,1,Ain,45.979851,5.33689,A516,AMPRNPJ
1330,1005,,Ambérieux-en-Dombes,,AMBERIEUX-EN-DOMBES,AMBERIEUX EN DOMBES,82,RHONE-ALPES,1,Ain,45.998057,4.902498,A516,AMPRKSNTMPS
1300,1006,,Ambléon,,AMBLEON,AMBLEON,82,RHONE-ALPES,1,Ain,45.74987,5.601326,A514,AMPLN
1500,1007,,Ambronay,,AMBRONAY,AMBRONAY,82,RHONE-ALPES,1,Ain,46.00648,5.35999,A516,AMPRN
1500,1008,,Ambutrix,,AMBUTRIX,AMBUTRIX,82,RHONE-ALPES,1,Ain,45.939594,5.338195,A513,AMPTRKS
1300,1009,,Andert-et-Condon,,ANDERT-ET-CONDON,ANDERT ET CONDON,82,RHONE-ALPES,1,Ain,45.794688,5.655624,A536,ANTRTTKNTN
1350,1010,,Anglefort,,ANGLEFORT,ANGLEFORT,82,RHONE-ALPES,1,Ain,45.91333,5.808992,A524,ANKLFRT
1100,1011,,Apremont,,APREMONT,APREMONT,82,RHONE-ALPES,1,Ain,46.207172,5.657787,A165,APRMNT
1110,1012,,Aranc,,ARANC,ARANC,82,RHONE-ALPES,1,Ain,46.003679,5.508627,A652,ARNK
1230,1013,,Arandas,,ARANDAS,ARANDAS,82,RHONE-ALPES,1,Ain,45.89596,5.488735,A653,ARNTS
1100,1014,,Arbent,,ARBENT,ARBENT,82,RHONE-ALPES,1,Ain,46.295735,5.6821,A615,ARPNT
1300,1015,,Arbignieu,,ARBIGNIEU,ARBIGNIEU,82,RHONE-ALPES,1,Ain,45.728482,5.650354,A612,ARPN
1190,1016,,Arbigny,,ARBIGNY,ARBIGNY,82,RHONE-ALPES,1,Ain,46.469456,4.961984,A612,ARPN
1230,1017,,Argis,,ARGIS,ARGIS,82,RHONE-ALPES,1,Ain,45.933505,5.491159,A622,ARJS
1510,1019,,Armix,,ARMIX,ARMIX,82,RHONE-ALPES,1,Ain,45.849253,5.585465,A652,ARMKS
1480,1021,,Ars-sur-Formans,,ARS-SUR-FORMANS,ARS SUR FORMANS,82,RHONE-ALPES,1,Ain,45.993535,4.82113,A626,ARSSRFRMNS
1510,1022,,Artemare,,ARTEMARE,ARTEMARE,82,RHONE-ALPES,1,Ain,45.871579,5.691073,A635,ARTMR
1570,1023,,Asnières-sur-Saône,,ASNIERES-SUR-SAONE,ASNIERES SUR SAONE,82,RHONE-ALPES,1,Ain,46.383037,4.883211,A256,ASNRSSRSN
1340,1024,,Attignat,,ATTIGNAT,ATTIGNAT,82,RHONE-ALPES,1,Ain,46.28472,5.16116,A325,ATNT
1380,1025,,Bâgé-la-Ville,,BAGE-LA-VILLE,BAGE LA VILLE,82,RHONE-ALPES,1,Ain,46.316575,4.946254,B241,PJLFL
1380,1026,,Bâgé-le-Châtel,,BAGE-LE-CHATEL,BAGE LE CHATEL,82,RHONE-ALPES,1,Ain,46.30863,4.930055,B242,PJLXTL
1360,1027,,Balan,,BALAN,BALAN,82,RHONE-ALPES,1,Ain,45.833836,5.097323,B450,PLN
1360,1027,,CAMP DE LA VALBONNE,,CAMP DE LA VALBONNE,CAMP DE LA VALBONNE,82,RHONE-ALPES,1,Ain,45.840061,5.13134,C513,KMPTLFLPN
