"code postal","insee","article","ville","ARTICLE","VILLE","libelle","region","nom region","dep","nom dep","longitude","latitude","codex","metaphone"
"13980","13003","","Alleins","","ALLEINS","ALLEINS","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.709091","5.15391","A452","ALNS"
"13200","13004","","Arles","","ARLES","ARLES","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.664181","4.63075","A642","ARLS"
"13123","13004","","Arles","","ARLES","L ALBARON","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.61562","4.475285","A642","ARLS"
"13104","13004","","Arles","","ARLES","MAS THIBERT","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.556961","4.72928","A642","ARLS"
"13129","13004","","Arles","","ARLES","SALIN DE GIRAUD","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.41444","4.73152","A642","ARLS"
"13280","13004","","Arles","","ARLES","RAPHELE LES ARLES","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.644981","4.71715","A642","ARLS"
"13400","13005","","Aubagne","","AUBAGNE","AUBAGNE","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.290401","5.56285","A125","APN"
"13930","13006","","Aureille","","AUREILLE","AUREILLE","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.700481","4.94112","A640","ARL"
"13117","13056","","Martigues","","MARTIGUES","LAVERA","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.388458","5.02603","M632","MRTKS"
"13500","13056","","Martigues","","MARTIGUES","MARTIGUES","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.384571","5.05445","M632","MRTKS"
"13103","13057","","Mas-Blanc-des-Alpilles","","MAS-BLANC-DES-ALPILLES","MAS BLANC DES ALPILLES","93","PROVENCE-ALPES-COTE D'AZUR","13","Bouches-du-Rhône","43.789174","4.759141","M214","MSPLNKTSLPLS"
