"Région de Bruxelles";"Nom français";"Nom néerlandais";"Type";"Province";"Superficie (km²)";"Population (2008)";"Densité (hab./km²)";"Sections";"Carte"
"Région de Bruxelles";"Anderlecht";"Anderlecht";"Commune";"bruxelles";"17,74";"99 085";"5 585";;
"Région de Bruxelles";"Auderghem";"Oudergem";"Commune";"bruxelles";"9,03";"30 086";"3 332";;
"Région de Bruxelles";"Berchem";"Sint-Agatha-Berchem";"Commune";"bruxelles";"2,95";"20 976";"7 111";;
"Région de Bruxelles";"Berchem-Sainte-Agathe";"Sint-Agatha-Berchem";"Commune";"bruxelles";"2,95";"20 976";"7 111";;
"Région de Bruxelles";"Bruxelles";"Brussel";"Ville";"bruxelles";"32,61";"148 873";"4 565";"Bruxelles, Laeken, Neder-Over-Heembeek, Haren";
"Région de Bruxelles";"Etterbeek";"Etterbeek";"Commune";"bruxelles";"3,15";"42 902";"13 620";;
"Région de Bruxelles";"Evere";"Evere";"Commune";"bruxelles";"5,02";"34 727";"6 918";;
"Région de Bruxelles";"Forest";"Vorst";"Commune";"bruxelles";"6,25";"48 906";"7 825";;
"Région de Bruxelles";"Ganshoren";"Ganshoren";"Commune";"bruxelles";"2,64";"21 743";"8 236";;
"Région de Bruxelles";"Ixelles";"Elsene";"Commune";"bruxelles";"6,34";"79 768";"12 582";;
"Région de Bruxelles";"Jette";"Jette";"Commune";"bruxelles";"5,04";"44 601";"8 849";;
"Région de Bruxelles";"Koekelberg";"Koekelberg";"Commune";"bruxelles";"1,17";"19 020";"16 256";;
"Région de Bruxelles";"Molenbeek";"Sint-Jans-Molenbeek";"Commune";"bruxelles";"5,89";"83 674";"14 206";;
"Région de Bruxelles";"Molenbeek-Saint-Jean";"Sint-Jans-Molenbeek";"Commune";"bruxelles";"5,89";"83 674";"14 206";;
"Région de Bruxelles";"Saint-Gilles";"Sint-Gillis";"Commune";"bruxelles";"2,52";"45 235";"17 950";;
"Région de Bruxelles";"Saint-Josse";"Sint-Joost-ten-Node";"Commune";"bruxelles";"1,14";"24 078";"21 121";;
"Région de Bruxelles";"Saint-Josse-ten-Noode";"Sint-Joost-ten-Node";"Commune";"bruxelles";"1,14";"24 078";"21 121";;
"Région de Bruxelles";"Schaerbeek";"Schaarbeek";"Commune";"bruxelles";"8,14";"116 039";"14 255";;
"Région de Bruxelles";"Uccle";"Ukkel";"Commune";"bruxelles";"22,91";"76 732";"3 349";;
"Région de Bruxelles";"Watermael";"Watermaal-Bosvoorde";"Commune";"bruxelles";"12,93";"24 134";"1 867";;
"Région de Bruxelles";"Watermael-Boitsfort";"Watermaal-Bosvoorde";"Commune";"bruxelles";"12,93";"24 134";"1 867";;
"Région de Bruxelles";"Woluwe-Saint-Lambert";"Sint-Lambrechts-Woluwe";"Commune";"bruxelles";"7,22";"49 261";"6 823";;
"Région de Bruxelles";"Woluwe-Saint-Pierre";"Sint-Pieters-Woluwe";"Commune";"bruxelles";"8,85";"38 651";"4 367";;
"Région wallonne";"Aiseau-Presles";"Aiseau-Presles";"Commune";"Hainaut";"22,19";"10 744";484;"Aiseau, Pont-de-Loup, Presles, Roselies";
"Région wallonne";"Amay";"Amay";"Commune";"Liège";"27,61";"13 280";481;"Amay, Ampsin, Flône, Jehay, Ombret-Rawsa";
"Région wallonne";"Amblève";"Amel";"Commune";"Liège";"125,15";"5 345";43;"Amel (Amblève), Heppenbach, Meyerode";
"Région wallonne";"Andenne";"Andenne";"Ville";"Namur";"86,17";"24 815";288;"Andenne, Bonneville, Coutisse, Landenne, Maizeret, Namêche, Sclayn, Seilles, Thon-Samson, Vezin";
"Région wallonne";"Anderlues";"Anderlues";"Commune";"Hainaut";"17,02";"11 613";682;"Anderlues";
"Région wallonne";"Anhée";"Anhée";"Commune";"Namur";"65,67";"7 014";107;"Anhée, Annevoie-Rouillon, Bioul, Denée, Haut-le-Wastia, Maredret, Salet, Sosoye, Warnant";
"Région wallonne";"Ans";"Ans";"Commune";"Liège";"23,35";"27 550";"1 180";"Alleur, Ans, Loncin, Xhendremael";
"Région wallonne";"Anthisnes";"Anthisnes";"Commune";"Liège";"37,08";"4 003";108;"Anthisnes, Hody, Tavier, Villers-aux-Tours";
"Région wallonne";"Antoing";"Antoing";"Ville";"Hainaut";"31,13";"7 567";243;"Antoing, Bruyelle, Calonne, Fontenoy, Maubray, Péronnes-lez-Antoing";
"Région wallonne";"Arlon";"Aarlen";"Ville";"Luxembourg";"118,64";"26 929";227;"Arlon, Autelbas, Bonnert, Guirsch, Heinsch, Toernich";
"Région wallonne";"Assesse";"Assesse";"Commune";"Namur";"78,16";"6 299";81;"Assesse, Courrière, Crupet, Florée, Maillen, Sart-Bernard, Sorinne-la-Longue";
"Région wallonne";"Ath";"Aat";"Ville";"Hainaut";"126,95";"27 586";217;"Arbre, Ath, Bouvignies, Ghislenghien, Gibecq, Houtaing, Irchonwelz, Isières, Lanquesaint, Ligne, Maffle, Mainvault, Meslin-l'Évêque, Moulbaix, Ormeignies, Ostiches, Rebaix, Villers-Notre-Dame, Villers-Saint-Amand";
"Région wallonne";"Attert";"Attert";"Commune";"Luxembourg";"70,94";"4 656";66;"Attert, Nobressart, Nothomb, Thiaumont, Tontelange";
"Région wallonne";"Aubange";"Aubange";"Commune";"Luxembourg";"45,6";"15 333";336;"Athus, Aubange, Halanzy, Rachecourt";
"Région wallonne";"Aubel";"Aubel";"Commune";"Liège";"18,83";"4 146";220;"Aubel";
"Région wallonne";"Awans";"Awans";"Commune";"Liège";"27,16";"8 758";322;"Awans, Fooz, Hognoul, Othée, Villers-l'Évêque";
"Région wallonne";"Aywaille";"Aywaille";"Commune";"Liège";"79,97";"11 227";140;"Aywaille, Ernonheid, Harzé, Sougné-Remouchamps";
"Région wallonne";"Baelen";"Baelen";"Commune";"Liège";"85,73";"4 156";48;"Baelen, Membach";
"Région wallonne";"Bassenge";"Bitsingen";"Commune";"Liège";"38,17";"8 483";222;"Bassenge, Boirs, Ében-Émael, Glons, Roclenge-sur-Geer, Wonck";
"Région wallonne";"Bastogne";"Bastenaken";"Ville";"Luxembourg";"172,03";"14 577";85;"Bastogne, Longvilly, Noville, Villers-la-Bonne-Eau, Wardin";
"Région wallonne";"Beaumont";"Beaumont";"Ville";"Hainaut";"92,97";"6 815";73;"Barbençon, Beaumont, Leugnies, Leval-Chaudeville, Renlies, Solre-Saint-Géry, Strée, Thirimont";
"Région wallonne";"Beauraing";"Beauraing";"Ville";"Namur";"174,55";"8 540";49;"Baronville, Beauraing, Dion, Felenne, Feschaux, Focant, Froidfontaine, Honnay, Javingue, Martouzin-Neuville, Pondrôme, Vonêche, Wancennes, Wiesme, Winenne";
"Région wallonne";"Beauvechain";"Bevekom";"Commune";"Brabant wallon";"38,58";"6 621";172;"Beauvechain, Hamme-Mille, L'Ecluse, Nodebais, Tourinnes-la-Grosse";
"Région wallonne";"Belœil";"Belœil";"Commune";"Hainaut";"61,55";"13 538";220;"Aubechies, Basècles, Belœil, Ellignies-Sainte-Anne, Grandglise, Quevaucamps, Ramegnies, Stambruges, Thumaide, Wadelincourt";
"Région wallonne";"Berloz";"Berloz";"Commune";"Liège";"14,49";"2 854";197;"Berloz, Corswarem, Rosoux-Crenwick";
"Région wallonne";"Bernissart";"Bernissart";"Commune";"Hainaut";"43,42";"11 612";267;"Bernissart, Blaton, Harchies, Pommerœul, Ville-Pommerœul";
"Région wallonne";"Bertogne";"Bertogne";"Commune";"Luxembourg";"91,67";"3 048";33;"Bertogne, Flamierge, Longchamps";
"Région wallonne";"Bertrix";"Bertrix";"Commune";"Luxembourg";"137,7";"8 211";60;"Auby-sur-Semois, Bertrix, Cugnon, Jehonville, Orgeo";
"Région wallonne";"Beyne-Heusay";"Beyne-Heusay";"Commune";"Liège";"7,32";"11 857";"1 620";"Bellaire, Beyne-Heusay, Moulins-sous-Fléron, Queue-du-Bois";
"Région wallonne";"Bièvre";"Bièvre";"Commune";"Namur";"109,59";"3 162";29;"Baillamont, Bellefontaine, Bièvre, Cornimont, Graide, Gros-Fays, Monceau-en-Ardenne, Naomé, Oizy, Petit-Fays, Six-Planes";
"Région wallonne";"Binche";"Binche";"Ville";"Hainaut";"60,66";"32 675";539;"Battignies, Binche, Bray, Buvrinnes, Épinois, Leval-Trahegnies, Péronnes-lez-Antoing, Ressaix, Waudrez";
