"Région";"Nom français";"Nom néerlandais";"Type";"Province";"Superficie (km²)";"Population (2008)";"Densité (hab./km²)";"Sections";"Carte"
"Région de Bruxelles";"Anderlecht";"Anderlecht";"Commune";"bruxelles";"17,74";"99 085";"5 585";;
"Région wallonne";"Waremme";"Borgworm";"Ville";"Liège";"31,04";"14 306";461;"Bettincourt, Bleret, Bovenistier, Grand-Axhe, Lantremange, Oleye, Waremme";
"Région wallonne";"Wasseiges";"Wasseiges";"Commune";"Liège";"24,45";"2 582";106;"Acosse, Ambresin, Meeffe, Wasseiges";
"Région wallonne";"Waterloo";"Waterloo";"Commune";"Brabant wallon";"21,03";"29 448";"1 400";"Waterloo";
"Région wallonne";"Wavre";"Waver";"Ville";"Brabant wallon";"41,8";"32 784";784;"Bierges, Limal, Wavre";
"Région wallonne";"Welkenraedt";"Welkenraedt";"Commune";"Liège";"24,47";"9 343";382;"Henri-Chapelle, Welkenraedt";
"Région wallonne";"Wellin";"Wellin";"Commune";"Luxembourg";"67,52";"2 990";44;"Chanly, Halma, Lomprez, Sohier, Wellin";
"Région wallonne";"Yvoir";"Yvoir";"Commune";"Namur";"56,84";"8 610";151;"Dorinne, Durnal, Évrehailles, Godinne, Houx, Mont, Purnode, Spontin, Yvoir";
"Région flamande";"Aalter";"Aalter";"Commune";"Flandre-Orientale";"81,92";"19 501";238;"Aalter, Lotenhulle, Poeke, Bellem";
"Région flamande";"Aarschot";"Aarschot";"Ville";"Brabant flamand";"62,52";"28 405";454;"Aarschot, Gelrode, Langdorp, Rillaar";
"Région flamande";"Aartselaar";"Aartselaar";"Commune";"Anvers";"10,93";"14 290";"1 307";"Aartselaar";
"Région flamande";"Affligem";"Affligem";"Commune";"Brabant flamand";"17,7";"12 397";700;"Teralfene, Essene, Hekelgem";
"Région flamande";"Alken";"Alken";"Commune";"Limbourg";"28,14";"11 242";400;"Alken";
"Région flamande";"Alost";"Aalst";"Ville";"Flandre-Orientale";"78,12";"80 043";"1 025";"Alost, Gijzegem, Hofstade, Baardegem, Herdersem, Meldert, Moorsel, Erembodegem, Nieuwerkerken";
"Région wallonne";"Namur";"Namen";"Ville";"Namur";"175,69";"107 939";614;"Beez, Belgrade, Boninne, Bouge, Champion, Cognelée, Daussoulx, Dave, Erpent, Flawinne, Gelbressée, Jambes, Lives, Loyers, Malonne, Marche-les-Dames, Namur, Naninne, Saint-Marc, Saint-Servais, Suarlée, Temploux, Vedrin, Wépion, Wierde";
