;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
2;34001;34290;"Abeilhan";;;
2;34002;34230;"Adissan";;;
2;34003;34300;"Agde";;;
2;34004;34210;"Agel";;;
2;34005;34190;"Agonès";;;
2;34006;34210;"Aigne";;;
2;34007;34210;"Aigues-Vives";;;
2;34008;34600;"Les Aires";;;
2;34009;34290;"Alignan-du-Vent";;;
2;34010;34150;"Aniane";;;
2;34011;34150;"Arboras";;;
2;34012;34380;"Argelliers";;;
2;34013;34800;"Aspiran";;;
2;34014;34820;"Assas";;;
2;34015;34360;"Assignan";;;
2;34016;34230;"Aumelas";;;
2;34017;34530;"Aumes";;;
2;34018;34480;"Autignac";;;
2;34019;34260;"Avène";;;
2;34020;34210;"Azillanet";;;
2;34021;34360;"Babeau-Bouldoux";;;
2;34022;34670;"Baillargues";;;
2;34023;34540;"Balaruc-les-Bains";;;
2;34024;34540;"Balaruc-le-Vieux";;;
2;34025;34290;"Bassan";;;
2;34026;34210;"Beaufort";;;
2;34027;34160;"Beaulieu";;;
2;34028;34600;"Bédarieux";;;
2;34029;34230;"Bélarga";;;
2;34030;34360;"Berlou";;;
2;34031;34550;"Bessan";;;
2;34032;34500;"Béziers";;;
2;34033;34160;"Boisseron";;;
2;34034;34220;"Boisset";;;
2;34035;34150;"La Boissière";;;
2;34036;34700;"Le Bosc";;;
2;34037;34760;"Boujan-sur-Libron";;;
2;34038;34260;"Le Bousquet-d'Orb";;;
2;34039;34140;"Bouzigues";;;
2;34040;34650;"Brenas";;;
2;34041;34800;"Brignac";;;
2;34042;34190;"Brissac";;;
2;34043;34160;"Buzignargues";;;
2;34044;34480;"Cabrerolles";;;
2;34045;34800;"Cabrières";;;
2;34046;34330;"Cambon-et-Salvergues";;;
2;34047;34230;"Campagnan";;;
2;34048;34160;"Campagne";;;
2;34049;34260;"Camplong";;;
2;34050;34130;"Candillargues";;;
2;34051;34800;"Canet";;;
2;34052;34310;"Capestang";;;
2;34053;34600;"Carlencas-et-Levas";;;
2;34054;34210;"Cassagnoles";;;
2;34055;34610;"Castanet-le-Haut";;;
2;34056;34120;"Castelnau-de-Guers";;;
2;34057;34170;"Castelnau-le-Lez";;;
2;34058;34160;"Castries";;;
2;34059;34210;"La Caunette";;;
2;34060;34380;"Causse-de-la-Selle";;;
2;34061;34490;"Causses-et-Veyran";;;
2;34062;34600;"Caussiniojouls";;;
2;34063;34720;"Caux";;;
2;34064;34520;"Le Caylar";;;
2;34065;34460;"Cazedarnes";;;
2;34066;34270;"Cazevieille";;;
2;34067;34190;"Cazilhac";;;
2;34068;34120;"Cazouls-d'Hérault";;;
2;34069;34370;"Cazouls-lès-Béziers";;;
2;34070;34360;"Cébazan";;;
2;34071;34260;"Ceilhes-et-Rocozels";;;
2;34072;34700;"Celles";;;
2;34073;34420;"Cers";;;
2;34074;34460;"Cessenon-sur-Orb";;;
2;34075;34210;"Cesseras";;;
2;34076;34800;"Ceyras";;;
2;34077;34830;"Clapiers";;;
2;34078;34270;"Claret";;;
2;34079;34800;"Clermont-l'Hérault";;;
2;34080;34390;"Colombières-sur-Orb";;;
2;34081;34440;"Colombiers";;;
