;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
2;34001;34290;"Abeilhan";;;
2;34002;34230;"Adissan";;;
2;34003;34300;"Agde";;;
2;34004;34210;"Agel";;;
2;34060;34380;"Causse-de-la-Selle";;;
2;34061;34490;"Causses-et-Veyran";;;
2;34062;34600;"Caussiniojouls";;;
2;34189;34210;"Olonzac";;;
2;34190;34210;"Oupia";;;
2;34191;34490;"Pailhès";;;
2;34192;34250;"Palavas-les-Flots2";;;
2;34193;34360;"Pardailhan";;;
2;34194;34230;"Paulhan";;;
2;34195;34380;"Pégairolles-de-Buèges";;;
2;34196;34700;"Pégairolles-de-l'Escalette";;;
