;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
91;"91 1 17 414";91930;"Monnerville";"8,31";402;48
91;"91 2 19 421";91230;"Montgeron";"11,22";"22 859";"2 037"
91;"91 3 20 425";91310;"Montlhéry";"3,28";"6 743";"2 056"
91;"91 3 28 432";91420;"Morangis";"4,80";"11 891";"2 477"
91;"91 1 08 433";91150;"Morigny-Champigny";"30,85";"4 316";140
91;"91 2 31 434";91390;"Morsang-sur-Orge";"4,39";"20 875";"4 755"
91;"91 2 32 435";91250;"Morsang-sur-Seine";"4,39";500;114
91;"91 2 16 441";91750;"Nainville-les-Roches";"5,93";446;75
91;"91 3 20 458";91620;"Nozay";"7,34";"4 696";640
91;"91 3 01 461";91340;"Ollainville";"11,33";"4 545";401
91;"91 2 18 463";91490;"Oncy-sur-École";"5,37";950;177
91;"91 2 16 468";91540;"Ormoy";"1,88";"1 784";949
91;"91 1 08 469";91150;"Ormoy-la-Rivière";"10,29";944;92
91;"91 3 21 471";91400;"Orsay";"7,97";"16 238";"2 037"
91;"91 1 11 473";91590;"Orveau";"4,30";200;47
91;"91 3 22 477";91120;"Palaiseau";"11,51";"30 311";"2 633"
91;"91 3 02 479";91550;"Paray-Vieille-Poste";"6,14";"7 169";"1 168"
91;"91 3 13 482";91470;"Pecqueuse";"7,40";613;83
91;"91 1 07 495";91410;"Plessis-Saint-Benoist";"9,16";307;34
91;"91 2 18 507";91720;"Prunay-sur-Essonne";"5,14";307;60
91;"91 1 08 508";91150;"Puiselet-le-Marais";"11,27";274;24
91;"91 1 17 511";91740;"Pussay";"11,55";"1 904";165
91;"91 2 38 514";91480;"Quincy-sous-Sénart";"5,20";"7 888";"1 517"
91;"91 1 07 519";91410;"Richarville";"10,35";418;40
91;"91 2 23 521";91130;"Ris-Orangis";"8,71";"27 339";"3 139"
91;"91 1 07 525";91410;"Roinville";"13,40";"1 216";91
91;"91 1 17 526";91150;"Roinvilliers";"7,16";92;13
91;"91 1 17 533";91690;"Saclas";"13,66";"1 795";131
91;"91 3 03 534";91400;"Saclay";"13,65";"3 052";224
