;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
77;77264;77540;"Lumigny-Nesles-Ormeaux";1319;;
77;77001;77760;"Achères-la-Forêt";1040;;
77;77002;77120;"Amillis";685;;
77;77003;77760;"Amponville";301;;
77;77004;77390;"Andrezel";365;;
77;77005;77410;"Annet-sur-Marne";2482;;
78;78677;78930;"Villette";520;463;113
78;78681;78770;"Villiers-le-Mahieu";692;677;103
78;78683;78640;"Villiers-Saint-Fréderic";"2 684";506;531
78;78686;78220;"Viroflay";"16 064";349;"4 603"
78;78688;78960;"Voisins-le-Bretonneux";"12 366";238;"5 196"
91;"91 1 17 001";91150;"Abbéville-la-Rivière";"15,02";282;19
91;"91 1 17 016";91670;"Angerville";"25,83";"3 573";138
94;94080;94300;"Vincennes";"48 118";"1,91";"25 193"
94;94081;94400;"Vitry-sur-Seine";"84 071";"11,67";"7 204"
92;92002;92160;"Antony";;;
92;92004;92600;"Asnières-sur-Seine";;;
93;93077;93250;"Villemomble";"4,04";"28 031";"6 938,37"
93;93078;93420;"Villepinte";"10,37";"35 740";"3 446,48"
93;93079;93430;"Villetaneuse";"2,31";"12 818";"5 548,92"
95;95002;95450;"Ableiges";946;;
95;95008;95510;"Aincourt";913;;
77;77284;77100;"Meaux  ";49800;;
