TYPVOIE;PREVOIE;NOMVOIE;TYPO;DATE_ARRET;CDGI;HISTO;TEXTE;QUARTIER;1er;2e;3e;4e;5e;6e;7e;8e;9e;10e;11e;12e;13e;14e;15e;16e;17e;18e;19e;20e;ARRON
voie;;cz/15;voie CZ/15;;;Historique.~ Voie projetée.;;Saint-Lambert.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;Xve
voie;;da/15;voie DA/15;;;Historique.~ Voie projetée.;;Saint-Lambert.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;Xve
voie;;ci/18;voie CI/18;;X515;"Historique.~ Voie projetée lors de l'aménagement du secteur des ""poissonniers"".";;Goutte d’Or.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;XVIIIe
voie;;ck/18;voie CK/18;;X551;"Historique.~ Voie projetée de la ZAC ""Pajol"".";;Chapelle.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;XVIIIe
voie;;fo/20;voie FO/20;;X521;"Historique.~ Voie projetée lors de l'aménagement de la ZAC ""Porte des Lilas"".";;Saint-Fargeau.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;XXe
voie;;fp/20;voie FP/20;;X524;"Historique.~ Voie projetée lors de l'aménagement de la ZAC ""Porte des Lilas"".";;Saint-Fargeau.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;XXe
voie;;fq/20;voie FQ/20;;X528;"Historique.~ Voie projetée lors de l'aménagement de la ZAC ""Porte des Lilas"".";;Saint-Fargeau.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;XXe
voie;;cd/17;voie CD/17;;X542;"Historique.~ Voie projetée dans le cadre de la ZAC ""Cardinet-Chalabre"".";;Epinettes.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;XVIIe
place;;mohamed bouazizi;place Mohamed Bouazizi;17/05/2011;6404;"Historique.~ Terrasse créée lors de l'aménagement de la zone ""Alésia-Montsouris"" et précédemment dénommée voie BO/14.
Orig. du nom.~ En hommage à Mohamed Bouazizi, jeune vendeur ambulant tunisien, symbole du soulèvement du peuple tunisien et à sa révolution de janvier 2011.";"Dénomination.~ Délib. mun. du 16 et 17 mai 2011.
Nota.~ La dénomination complète de la place est :""place Mohamed Bouazizi en hommage au peuple tunisien et à sa révolution de janvier 2011"".";Parc de Montsouris.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;XIVe
place;du;révérend père carré;place du Révérend Père Carré;17/05/2011;8177;Orig. du nom.~ Robert-Ambroise-Marie Carré (Fleury-les-Aubrais, 1908-Ancourt, 2004) homme d’église, écrivain et prédicateur dans l’esprit d’une spiritualité ouverte sans acceptation de race et de religion. Grand Officier de la Légion d’Honneur, Croix de guerre avec palme, Chevalier des Palmes académiques, Commandeur des Arts et des Lettres, Chevalier de l’ordre de Léopold de Belgique.;Dénomination.~ Délib. mun. du 16 et 17 mai 2011.;Faubourg du Roule.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VIIIe
